score,year,make,model,trim,price,net_cost_8mo,accidents,one_owner,carfax_url,loss_private,loss_instant,expected_repairs,fees,miles,miles_at_sale,liquidity,expected_price,under_market,color,body,seller_type,dealer,city,source,reliability,complaints,recalls,first_seen,days_listed,price_drop,is_new,url,reliability_note
41.9,2022,Subaru,Crosstrek,Sport 4dr SUV AWD (2.5L 4cyl CVT),19937,10478,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JF2GTHRC2NH262565&partner=FRD_2,7494,9657,234,1977,82997,90997,0.6900000000000001,19884,-53,Crystal Black Silica,small_suv,dealer,Pedder Hyundai Of Poway,Poway,auto.dev,100.0,31,,2026-09-23,1,0,False,https://www.carfax.com/vehicle/JF2GTHRC2NH262565,
41.8,2022,Toyota,Corolla,LE 4dr Sedan (1.8L 4cyl CVT),17060,9407,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JTDEPMAE7N3003292&partner=FRD_2,6527,8367,342,1735,89692,97692,0.6900000000000001,18307,1247,Gray,sedan,dealer,AutoZuu Inc,Spring Valley,auto.dev,74.4,100,,2026-09-20,4,0,False,https://www.autolist.com/toyota-corolla#vin=JTDEPMAE7N3003292,
41.8,2019,Honda,Civic,EX 4dr Hatchback (1.5L 4cyl Turbo CVT),17076,9526,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=SHHFK7H61KU214116&partner=FRD_2,6532,8374,454,1736,86492,94492,0.6900000000000001,17391,315,Silver,hatchback,dealer,DCH Kia of Temecula,Temecula,auto.dev,71.5,348,,2026-09-22,2,415,False,https://dchkiaoftemecula.com/used/Honda/2019-Honda-Civic-serving-temecula-ca-b5c24f1fac183c5b5fb7bc2514f5636c.htm,1.5L turbo oil dilution - warm climate helps; confirm it is not the turbo trim
41.8,2023,Kia,Forte,GT-Line 4dr Sedan (2.0L 4cyl CVT),16799,9152,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3KPF54AD6PE683523&partner=FRD_2,6439,8250,248,1713,28945,36945,0.75,18275,1476,Gray,sedan,dealer,Temecula Safi Motors,Temecula,auto.dev,58.8,61,,2026-09-20,4,0,False,https://www.carfax.com/vehicle/3KPF54AD6PE683523,
41.8,2023,Kia,Forte,GT-Line 4dr Sedan (2.0L 4cyl CVT),16885,8331,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3KPF54ADXPE524374&partner=FRD_2,5364,7351,333,1720,77240,85240,0.6900000000000001,16207,-678,Gray,sedan,dealer,Temecula Valley Toyota,Temecula,auto.dev,58.8,61,,2026-09-20,4,0,False,https://www.carfax.com/vehicle/3KPF54ADXPE524374,
41.7,2017,Toyota,RAV4,LE 4dr SUV (2.5L 4cyl 6A),17998,8758,,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T3ZFREV4HW399775&partner=FRD_2,4834,7979,561,1814,105210,113210,0.76,17828,-170,Black,small_suv,dealer,CarMax Oceanside,Oceanside,auto.dev,80.3,307,,2026-09-22,2,0,False,https://www.autolist.com/toyota-rav4#vin=2T3ZFREV4HW399775,Battery hold-down/terminal fire recall 23V-734 - verify it was performed
41.5,2022,Hyundai,Ioniq,SEL 4dr Hatchback (1.6L 4cyl gas/electric hybrid 6AM),18931,9068,0,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=KMHC85LC2NU268276&partner=FRD_2,5913,8149,277,1892,74891,82891,0.6900000000000001,18132,-799,White,hatchback,dealer,Team Kia of El Cajon,El Cajon,auto.dev,75.0,0,,2026-09-23,1,0,False,https://www.carfax.com/vehicle/KMHC85LC2NU268276,
41.4,2016,Toyota,Corolla,S Premium 4dr Sedan (1.8L 4cyl CVT),16462,9381,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=5YFBURHE1GP479868&partner=FRD_2,6326,8454,392,1685,64144,72144,0.75,14708,-1754,Black,sedan,dealer,AutoNation Hyundai Carlsbad,Carlsbad,auto.dev,88.8,214,,2026-09-20,4,0,False,https://bmwencinitas.com/used/Toyota/2016-Toyota-Corolla-a8f2b037ac1804415d9b37e0e2c9cebc.htm,
41.4,2020,Honda,CR-V,LX 4dr SUV AWD (1.5L 4cyl Turbo CVT),19219,8702,0,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=5J6RW2H25LL012889&partner=FRD_2,5359,7725,380,1916,84596,92596,0.6900000000000001,19566,347,White,small_suv,dealer,Carnova,San Diego,auto.dev,78.3,352,,2026-09-20,4,0,False,https://www.car-nova.com/pre-owned-cars/detail/x/1558783,1.5L turbo oil dilution - warm climate helps; confirm it is not the turbo trim
41.4,2021,Honda,Civic,Sport 4dr Sedan (2.0L 4cyl CVT),17495,10626,1,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2HGFC2F83MH534560&partner=FRD_2,7429,9560,372,1772,95316,103316,0.6000000000000001,18456,961,Black,sedan,dealer,Vanguard Auto Sales LLC,Lakeside,auto.dev,82.2,143,,2026-09-23,1,0,False,https://www.vanguardautosales.net/pre-owned-cars/detail/x/1576387,1.5L turbo oil dilution - warm climate helps; confirm it is not the turbo trim
41.4,2019,Volkswagen,Jetta,1.4T SE ULEV 4dr Sedan (1.4L 4cyl Turbo 8A),14080,7358,0,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3VWCB7BU5KM253148&partner=FRD_2,4157,5868,599,1485,64004,72004,0.75,14571,491,Gray,sedan,dealer,Ken Grody Ford Carlsbad,Carlsbad,auto.dev,0.0,548,,2026-09-23,1,0,False,https://www.carfax.com/vehicle/3VWCB7BU5KM253148,
41.3,2017,Toyota,Yaris iA,4dr Sedan (1.5L 4cyl 6A),10498,7145,,False,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3MYDLBYVXHY161074&partner=FRD_2,3159,5290,1038,1184,123673,131673,0.3844,10002,-496,Gray,sedan,dealer,CC Auto Group,San Diego,auto.dev,20.5,31,,2026-09-19,5,466,False,https://www.autolist.com/toyota-yaris+ia#vin=3MYDLBYVXHY161074,"Mazda2 mechanicals, few complaints; thin resale market is the real cost"
41.3,2016,Subaru,Crosstrek,2.0i Premium PZEV 4dr SUV AWD (2.0L 4cyl CVT),14599,8007,0,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=JF2GPABC7G8228839&partner=FRD_2,4278,6766,654,1528,100980,108980,0.6000000000000001,13064,-1535,Ice Silver Metallic,small_suv,dealer,CarMax Murrieta,Murrieta,auto.dev,68.1,131,,2026-09-20,4,0,False,https://www.autolist.com/subaru-xv+crosstrek#vin=JF2GPABC7G8228839,FB-series oil consumption; check consumption history
41.2,2020,Honda,HR-V,EX 4dr SUV AWD (1.8L 4cyl CVT),18844,10088,1,True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=3CZRU6H55LM707153&partner=FRD_2,7126,9167,292,1885,80952,88952,0.6900000000000001,18156,-688,Gray,small_suv,dealer,AutoNation Subaru Carlsbad,Carlsbad,auto.dev,97.6,83,,2026-09-23,1,0,False,https://bmwencinitas.com/used/Honda/2020-Honda-HR-V-c57c94abac1812d225eec517d644edd0.htm,
